isolate_id,pathotype,BTx623,TAM428,PI570841,SC326_6,RTx2536,SC328C,Theis,IS18760,BTx398,SC414_12E,PI569979,PI570726,BTx378,SC283,QL3_IND,Brandes,SC748_5,SC112_14
FSP200,9,S,S,S,S,S,S,R,S,S,S,R,R,S,S,R,R,R,R
FSP70,3,S,S,S,R,R,S,S,S,S,S,R,S,R,R,S,R,R,R
FSP248,16,S,S,S,S,R,S,S,R,S,R,S,R,R,S,R,R,R,R
FSP280,23,S,S,S,S,S,R,R,S,S,R,R,S,S,R,R,R,R,R
FSP277,20,S,S,S,S,S,R,S,S,R,R,R,S,S,R,R,R,R,R
FSP237,13,S,S,S,S,S,S,S,R,R,R,S,R,R,R,S,R,R,R
FSP244,14,S,S,S,S,S,S,S,R,S,R,S,R,R,R,R,R,R,R
FSP267,18,S,S,S,S,S,R,R,S,S,S,R,R,R,R,R,R,R,R
FSP276,19,S,S,S,S,S,R,S,S,R,R,R,R,S,R,R,R,R,R
FSP198,7,S,S,S,S,S,S,R,S,R,S,R,R,R,R,R,R,R,R
FSP199,8,S,S,S,R,S,S,S,S,R,R,R,R,R,R,R,R,R,R
FSP252,17,S,S,S,S,R,S,R,R,S,R,S,R,R,R,R,R,R,R
FSP213,12,S,S,S,S,S,R,S,R,R,R,S,R,R,R,R,R,R,R
FSP201,10,S,S,S,S,S,S,R,R,R,S,R,R,R,R,R,R,R,R
FSP279,22,S,S,S,S,R,R,R,R,S,R,R,R,S,R,R,R,R,R
FSP278,21,S,S,S,S,S,R,R,R,R,R,R,S,R,R,R,R,R,R
FSP182,6,S,S,S,R,R,S,R,R,R,S,R,R,R,R,R,R,R,R
FSP71,4,S,S,S,R,R,S,S,R,R,R,R,R,R,R,R,R,R,R
FSP284,25,S,S,S,R,S,R,R,R,R,R,R,R,R,S,R,R,R,R
FSP281,24,S,S,S,S,R,R,R,R,R,R,R,S,R,R,R,R,R,R
FSP299,27,S,S,S,S,R,R,R,R,R,R,S,R,R,R,R,R,R,R
FSP36,1,S,S,S,S,R,R,R,R,R,S,R,R,R,R,R,R,R,R
FSP289,26,S,R,S,S,R,R,R,R,R,R,S,R,R,R,R,R,R,R
FSP245,15,S,S,S,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R
FSP250,15,S,S,S,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R
FSP53,2,S,S,R,R,R,R,S,R,R,R,R,R,R,R,R,R,R,R
FSP76,5,S,S,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
FSP92,5,S,S,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
FSP265,5,S,S,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
FSP208,11,S,S,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
