isolate_id,origin,site,collection_year
FSP102,PR,Isabela,2011.0
FSP103,PR,Isabela,2011.0
FSP104,PR,Isabela,2011.0
FSP108,PR,Isabela,2011.0
FSP109,PR,Isabela,2011.0
FSP125,PR,Isabela,2010.0
FSP126,PR,Isabela,2010.0
FSP127,PR,Isabela,2010.0
FSP128,PR,Isabela,2010.0
FSP129,PR,Isabela,2010.0
FSP130,PR,Isabela,2010.0
FSP131,PR,Isabela,2010.0
FSP132,PR,Isabela,2010.0
FSP133,PR,Isabela,2010.0
FSP134,PR,Isabela,2010.0
FSP135,PR,Isabela,2010.0
FSP139,PR,Isabela,2010.0
FSP140,PR,Isabela,2010.0
FSP142,PR,Isabela,2010.0
FSP143,PR,Isabela,2010.0
FSP144,PR,Isabela,2010.0
FSP145,PR,Isabela,2010.0
FSP146,PR,Isabela,2010.0
FSP147,PR,Isabela,2010.0
FSP150,PR,Isabela,2010.0
FSP151,PR,Isabela,2010.0
FSP152,PR,Isabela,2010.0
FSP154,PR,Isabela,2010.0
FSP155,PR,Isabela,2010.0
FSP158,PR,Isabela,2006.0
FSP159,PR,Isabela,2006.0
FSP15,TX,College Station,2011.0
FSP161,PR,Isabela,2006.0
FSP163,PR,Isabela,2006.0
FSP164,PR,Isabela,2006.0
FSP165,PR,Isabela,2006.0
FSP166,PR,Isabela,2006.0
FSP167,PR,Isabela,2006.0
FSP168,PR,Isabela,2006.0
FSP170,PR,Isabela,2006.0
FSP172,PR,Isabela,2006.0
FSP173,PR,Isabela,2006.0
FSP182,TX,College Station,2006.0
FSP195,PR,Mayaguez,2012.0
FSP196,PR,Mayaguez,2012.0
FSP197,PR,Mayaguez,2012.0
FSP198,PR,Mayaguez,2012.0
FSP199,PR,Mayaguez,2012.0
FSP200,PR,Mayaguez,2012.0
FSP201,PR,Mayaguez,2012.0
FSP202,PR,Mayaguez,2012.0
FSP203,PR,Mayaguez,2012.0
FSP204,PR,Mayaguez,2012.0
FSP205,PR,Mayaguez,2012.0
FSP206,PR,Mayaguez,2012.0
FSP207,PR,Mayaguez,2012.0
FSP208,PR,Mayaguez,2012.0
FSP209,PR,Mayaguez,2012.0
FSP210,PR,Mayaguez,2012.0
FSP213,GA,Pioneer,2012.0
FSP220,GA,Pioneer,2012.0
FSP225,PR,Mayaguez,2012.0
FSP236,TX,College Station,2012.0
FSP237,TX,College Station,2012.0
FSP244,PR,Corozal,2013.0
FSP245,PR,Corozal,2013.0
FSP246,PR,Corozal,2013.0
FSP248,PR,Corozal,2013.0
FSP249,PR,Corozal,2013.0
FSP250,PR,Corozal,2013.0
FSP251,PR,Corozal,2013.0
FSP252,PR,Corozal,2013.0
FSP253,PR,Corozal,2013.0
FSP254,PR,Corozal,2013.0
FSP255,PR,Corozal,2013.0
FSP256,TX,Wharton,2013.0
FSP257,TX,Wharton,2013.0
FSP258,TX,Wharton,2013.0
FSP259,TX,Wharton,2013.0
FSP261,TX,Wharton,2013.0
FSP263,TX,Wharton,2013.0
FSP265,NC,Winterville,2013.0
FSP267,NC,Winterville,2013.0
FSP268,NC,Winterville,2013.0
FSP269,NC,Winterville,2013.0
FSP270,NC,Winterville,2013.0
FSP272,NC,Winterville,2013.0
FSP276,GA,Cairo,2014.0
FSP277,GA,Cairo,2014.0
FSP278,GA,Cairo,2014.0
FSP279,GA,Cairo,2014.0
FSP280,GA,Cairo,2014.0
FSP281,GA,Cairo,2014.0
FSP282,GA,Tifton,2015.0
FSP283,GA,Tifton,2015.0
FSP284,GA,Tifton,2015.0
FSP285,GA,Tifton,2015.0
FSP286,GA,Tifton,2015.0
FSP287,GA,Tifton,2015.0
FSP288,GA,Tifton,2015.0
FSP289,GA,Tifton,2015.0
FSP290,GA,Tifton,2015.0
FSP291,GA,Tifton,2015.0
FSP292,GA,Cairo,2015.0
FSP293,GA,Cairo,2015.0
FSP294,GA,Cairo,2015.0
FSP295,GA,Cairo,2015.0
FSP296,GA,Cairo,2015.0
FSP297,GA,Cairo,2015.0
FSP298,GA,Cairo,2015.0
FSP299,GA,Cairo,2015.0
FSP300,GA,Cairo,2015.0
FSP301,GA,Cairo,2015.0
FSP302,TX,College Station,2016.0
FSP303,TX,College Station,2016.0
FSP36,TX,College Station,2011.0
FSP48,TX,College Station,2011.0
FSP4,TX,College Station,2011.0
FSP53,TX,College Station,2011.0
FSP5,TX,College Station,2011.0
FSP61,PR,Isabela,2011.0
FSP62,PR,Isabela,2011.0
FSP66,PR,Isabela,2011.0
FSP67,PR,Isabela,2011.0
FSP68,PR,Mayaguez,2012.0
FSP70,PR,Mayaguez,2012.0
FSP71,PR,Mayaguez,2012.0
FSP72,PR,Mayaguez,2012.0
FSP73,PR,Mayaguez,2012.0
FSP74,PR,Mayaguez,2012.0
FSP76,PR,Mayaguez,2012.0
FSP78,PR,Mayaguez,2012.0
FSP80,PR,Isabela,2011.0
FSP87,PR,Isabela,2011.0
FSP91,PR,Isabela,2011.0
FSP92,PR,Isabela,2011.0
FSP94,PR,Isabela,2011.0
FSP95,PR,Isabela,2011.0
JG-1,JG,Corpus Christi,
JG-2,JG,Corpus Christi,
